intercambiador_id,cantidad_infraestructura,cantidad_modos,modos,nombre_referencias,radio_cluster_m,ferrocarril,subte,autobus,fluvial,tranvia,score_intercambiador
123,3,2,AUTOBUS|FERROCARRIL,Capitán Lozano | Estación Lozano,58.5776981356437,1,0,1,0,0,41.0
124,3,2,AUTOBUS|FERROCARRIL,Sargento Barrufaldi | Est. Barrufaldi,34.82169533410592,1,0,1,0,0,41.0
125,4,2,AUTOBUS|FERROCARRIL,Ejército de los Andes | Estación Ejército de los Andes | Roca y Bocayuva,79.95310451042405,1,0,1,0,0,43.0
126,5,2,AUTOBUS|FERROCARRIL,Victoria,44.87179787598425,1,0,1,0,0,45.0
127,3,2,AUTOBUS|FERROCARRIL,El Talar,8.92308423991112,1,0,1,0,0,41.0
128,5,2,AUTOBUS|FERROCARRIL,Villa Rosa  a Retiro | Villa Rosa a Retiro | Villa Rosa,15.413842691859042,1,0,1,0,0,45.0
129,21,2,AUTOBUS|FERROCARRIL,Lomas de Zamora | Estación Lomas de Zamora | Alsina y Fonrouge | Brown y Balcarce | Boedo y Acevedo | Boedo y Alem | Est. Lomas de Zamora | Expreso Villa Galicia San José,291.5396446676262,1,0,1,0,0,65.0
130,8,2,AUTOBUS|FERROCARRIL,Banfield | Estación Banfield,133.83224313052332,1,0,1,0,0,51.0
131,4,2,AUTOBUS|FERROCARRIL,Llavallol | Est. Llavallol,70.11419095058933,1,0,1,0,0,43.0
132,5,2,AUTOBUS|FERROCARRIL,Turdera | Estación Turdera,121.174982578951,1,0,1,0,0,45.0
133,4,2,AUTOBUS|FERROCARRIL,Remedios de Escalada | Estación Remedios de Escalada,30.86114220291099,1,0,1,0,0,43.0
134,22,2,AUTOBUS|FERROCARRIL,Lanús | Estación Lanús | Juan Piñeiro y Pavón,236.6997907177953,1,0,1,0,0,65.0
135,3,2,AUTOBUS|FERROCARRIL,Gerli | Puente Gerli,93.55940764622234,1,0,1,0,0,41.0
136,13,2,AUTOBUS|FERROCARRIL,Adrogué | Estación Adrogué | Est. Adrogué | Somellera y Spiro | González y Uriburu,212.793875270738,1,0,1,0,0,61.0
137,25,2,AUTOBUS|FERROCARRIL,Burzaco | Estación Burzaco | 25 de mayo y Alsina | Parque Scout | Mitre y Primo | Mitre y Quintana | Mitre y Burzaco | Mitre y Colón | Mitre y Alsina | Quintana y 25 de mayo,393.90796797612154,1,0,1,0,0,65.0
138,4,2,AUTOBUS|FERROCARRIL,Guernica,88.41579636528688,1,0,1,0,0,43.0
139,9,2,AUTOBUS|FERROCARRIL,Longchamps | Est. Longchamps | Estación Longchamps,160.25074957596874,1,0,1,0,0,53.0
140,49,2,AUTOBUS|FERROCARRIL,San Justo | Peru y Zapiola | Perú y Arieta | Villegas y Arieta | Arieta y Salta | Almafuerte y Villegas | Yrigoyen y Almafuerte | Yrigoyen y Entre Ríos | Plaza de San Justo | Almafuerte y Perú,641.9840011422782,1,0,1,0,0,65.0
141,7,2,AUTOBUS|FERROCARRIL,Ingeniero S. Brian | América y Cuba | América y Constitución | Constitución y América | América y Argentina,180.93061383340316,1,0,1,0,0,49.0
142,5,2,AUTOBUS|FERROCARRIL,Aldo Bonzi,22.188757821877577,1,0,1,0,0,45.0
143,6,2,AUTOBUS|FERROCARRIL,Justo Villegas | Villegas | Crovara y Castillo | Crovara y Bermejo,226.52794972701523,1,0,1,0,0,47.0
144,6,2,AUTOBUS|FERROCARRIL,Isidro Casanova | Segui y Roma | Estación Isidro Casanova | Islas Malvinas y Segui,167.14051493892225,1,0,1,0,0,47.0
145,25,2,AUTOBUS|FERROCARRIL,Rafael Castillo | Casares y Beazley | Carlos Casares y Beazley | Granville y Capdevila | Casares y Drago | Carlos Casares y Drago | Beazley y Casares | Casares y Granville | Casares y Chavarría | Casares y Méndez de Andes,346.573865431075,1,0,1,0,0,65.0
146,3,2,AUTOBUS|FERROCARRIL,Libertad,8.863798227390438,1,0,1,0,0,41.0
147,5,2,AUTOBUS|FERROCARRIL,Marinos del Crucero General Belgrano,53.26468272963527,1,0,1,0,0,45.0
148,8,2,AUTOBUS|FERROCARRIL,La Paternal | Trelles y Añasco,122.38119719825454,1,0,1,0,0,51.0
149,11,2,AUTOBUS|FERROCARRIL,José Mármol | Toll y Mitre | 4 de enero y Bynnon | Barrera Bynnon | Estación José Mármol | Mitre y Erezcano | Mitre y La Rosa | Jacinto Calvo y Bynnon,306.5478653415886,1,0,1,0,0,57.0
150,4,2,AUTOBUS|FERROCARRIL,Sourigues | Estación Sourigues,96.24263158417392,1,0,1,0,0,43.0
151,5,2,AUTOBUS|FERROCARRIL,Ranelagh | Estación Ranelagh,91.11004578041596,1,0,1,0,0,45.0
152,4,2,AUTOBUS|FERROCARRIL,Luis Guillón | Estación Luis Guillón,16.602254557964436,1,0,1,0,0,43.0
153,22,2,AUTOBUS|FERROCARRIL,Plaza Nueva Pompeya | Avenida Sáenz | Doctor Antonio Sáenz | Sáenz y Famatina | Sáenz | Estación Sáenz | Almafuerte y Sáenz | Rabanal y Sáenz | Sáenz y Beazley | Nuestra Señora de Pompeya,505.98714144428516,1,0,1,0,0,65.0
154,5,2,AUTOBUS|FERROCARRIL,José María Bosch | Estación Bosch,111.14985394690126,1,0,1,0,0,45.0
155,5,2,AUTOBUS|FERROCARRIL,Tropezón | Estación Tropezón,46.517283591073955,1,0,1,0,0,45.0
156,9,2,AUTOBUS|FERROCARRIL,Lourdes | Yrigoyen y Bianchi | Yrigoyen y Canale | Perdriel y Ombú | Estación Lourdes | Oyuela y Carbone,229.12887541925545,1,0,1,0,0,53.0
157,3,2,AUTOBUS|FERROCARRIL,Fernández Moreno,5.971760294730216,1,0,1,0,0,41.0
158,11,2,AUTOBUS|FERROCARRIL,Santos Lugares | Estación Santos Lugares | La Plata y Anchordoqui | Carbone y Estrada | Estrada y Carbone | Lage y Sábato | Alpatacal y Anchordoqui,235.2788084508465,1,0,1,0,0,57.0
159,31,2,AUTOBUS|FERROCARRIL,Caseros | Urquiza y Constitución | Hornos y Urquiza | Belgrano y Hornos | Urquiza y Hornos | Hornos y Moreno | Escuela 45 | Estación Caseros | San Martín y Moreno | Urquiza y San Martín,453.10428271644435,1,0,1,0,0,65.0
160,17,2,AUTOBUS|FERROCARRIL,El Palomar - Batallón 601 | El Palomar | Bustillo y Urquiza | Bustillo y Galán | Bustillo y Virasoro | Marconi y Bustillo | Terminal El Palomar | Virasoro y Victorica | Plazoleta Güemes | Correo Argentino El Palomar,504.3249585829344,1,0,1,0,0,65.0
161,6,2,AUTOBUS|FERROCARRIL,Darío Santillán y Maximiliano Kosteki | Estación Avellaneda | Terminal de Omnibus Avellaneda,101.8221537856475,1,0,1,0,0,47.0
162,12,2,AUTOBUS|FERROCARRIL,Martín Coronado | Carrefour Coronado | Estación Martín Coronado | Plaza Martín Coronado | Wernicke y Cattáneo | Plaza Crucero Belgrano,283.3125095181474,1,0,1,0,0,59.0
163,7,2,AUTOBUS|FERROCARRIL,Pablo Podestá | Altos de Podestá | Estación Podestá,126.33260050870412,1,0,1,0,0,49.0
164,3,2,AUTOBUS|FERROCARRIL,Benavídez,24.511461823373917,1,0,1,0,0,41.0
165,5,2,AUTOBUS|FERROCARRIL,Escobar | Terminal de colectivos,59.890998737391314,1,0,1,0,0,45.0
166,5,2,AUTOBUS|FERROCARRIL,Miguelete | Estación Miguelete,141.29985506618573,1,0,1,0,0,45.0
167,20,2,AUTOBUS|FERROCARRIL,San Martín | Lincoln y Saavedra | Ayacucho y Mitre | Ayacucho y Pueyrredón | Mitre y Ayacucho | Estación San Martín | Lincoln y Las Heras | Pueyrredón y Ayacucho | Moreno y 25 de Mayo | Estrada y Las Heras,447.57051059044755,1,0,1,0,0,65.0
168,3,2,AUTOBUS|FERROCARRIL,Malaver,6.514642151655371,1,0,1,0,0,41.0
169,5,2,AUTOBUS|FERROCARRIL,Villa Ballester | Estación Villa Ballester | Rodríguez y Alvear,167.21038621359986,1,0,1,0,0,45.0
170,6,2,AUTOBUS|FERROCARRIL,Chilavert | Independencia y Moreno | Rodríguez y Moreno,180.40213747372556,1,0,1,0,0,47.0
171,6,2,AUTOBUS|FERROCARRIL,Florida | San Martín y Pellegrini | Florida (Belgrano) | Estación Florida,149.99053561621827,1,0,1,0,0,47.0
172,4,2,AUTOBUS|FERROCARRIL,Carapachay | Estación Carapachay,105.36193173470863,1,0,1,0,0,43.0
