osm_type,osm_id,osm_key,nombre,nombre_normalizado,operador,tipo_infraestructura,modo_principal,categoria_intermodal,capacidad,railway,amenity,public_transport,network,brand,operator,ref,wikidata,website,osm_ids,cantidad_elementos_osm,es_ferrocarril,es_subte,es_autobus,es_fluvial,es_tranvia,es_multimodal,score_infraestructura
node,4995934043,node/4995934043,Del Cañón y Marcos Paz,del canon y marcos paz,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4995918834,4995934043,9458280254,9458280267",4,0,0,0,0,0,0,0.0
node,4995918835,node/4995918835,Perón y Castelli,peron y castelli,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"4995918835,4995941621,9458280272,9458280282",4,0,0,0,0,0,0,0.0
node,4995934025,node/4995934025,Del Cañón y Dr. Vera,del canon y dr. vera,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4995934025,4995934026",2,0,0,0,0,0,0,0.0
node,4995941623,node/4995941623,Perón y Alberti,peron y alberti,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"4995941622,4995941623,9458280271,9458280281",4,0,0,0,0,0,0,0.0
node,4995941626,node/4995941626,Perón y French,peron y french,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"13459452717,13459452718,4995941625,4995941626",4,0,0,0,0,0,0,0.0
node,4998983057,node/4998983057,Gaona y Artigas,gaona y artigas,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983057,4998983058,5735491548,5735491549",4,0,0,0,0,0,0,0.0
node,4998983059,node/4998983059,Plaza La Asunción,plaza la asuncion,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983059,4998983060",2,0,0,0,0,0,0,0.0
node,5732949793,node/5732949793,Gaona y Boyacá,gaona y boyaca,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983061,4998983062,5732949792,5732949793,5732949794",5,0,0,0,0,0,0,0.0
node,4998983063,node/4998983063,Gaona y Terrero,gaona y terrero,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983063,4998983064",2,0,0,0,0,0,0,0.0
node,4998983067,node/4998983067,Plaza Irlanda,plaza irlanda,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983067,4998983068",2,0,0,0,0,0,0,0.0
node,4998983069,node/4998983069,Seguí y Neuquén,segui y neuquen,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983069,4998983070",2,0,0,0,0,0,0,0.0
node,9733855011,node/9733855011,Aranguren e Hidalgo,aranguren e hidalgo,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983073,4998983074,9733855011,9733855012",4,0,0,0,0,0,0,0.0
node,4998983076,node/4998983076,Guayaquil y José María Moreno,guayaquil y jose maria moreno,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983076,4998983077",2,0,0,0,0,0,0,0.0
node,4998983078,node/4998983078,Guayaquil y Doblas,guayaquil y doblas,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983078,4998983079",2,0,0,0,0,0,0,0.0
node,4998983080,node/4998983080,Avenida La Plata,avenida la plata,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983080,4998983081",2,0,0,0,0,0,0,0.0
node,4998983082,node/4998983082,Agrelo y José Marmol,agrelo y jose marmol,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983082,4998983083",2,0,0,0,0,0,0,0.0
node,4998983084,node/4998983084,Agrelo y Bocayuva,agrelo y bocayuva,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983084,4998983085",2,0,0,0,0,0,0,0.0
node,4998983086,node/4998983086,Agrelo y Castro Barros,agrelo y castro barros,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983086,4998983087",2,0,0,0,0,0,0,0.0
node,4998983089,node/4998983089,Agrelo y Virrey Liniers,agrelo y virrey liniers,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983089,4998983090",2,0,0,0,0,0,0,0.0
node,4998983091,node/4998983091,Hospital Ramos Mejía,hospital ramos mejia,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983091,4998983092",2,0,0,0,0,0,0,0.0
node,4998983093,node/4998983093,Venezuela y La Rioja,venezuela y la rioja,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983093,4998983094",2,0,0,0,0,0,0,0.0
node,4998983095,node/4998983095,Venezuela y Catamarca,venezuela y catamarca,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983095,4998983096,5382351858,5382351859",4,0,0,0,0,0,0,0.0
node,4998983097,node/4998983097,Venezuela y Alberti,venezuela y alberti,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983097,4998983098",2,0,0,0,0,0,0,0.0
node,4998983099,node/4998983099,Venezuela y Pasco,venezuela y pasco,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983099,4998983100",2,0,0,0,0,0,0,0.0
node,4998983101,node/4998983101,Venezuela y Sarandí,venezuela y sarandi,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983101,4998983102",2,0,0,0,0,0,0,0.0
node,4998983103,node/4998983103,Venezuela y Entre Ríos,venezuela y entre rios,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"4998983103,4998983104",2,0,0,0,0,0,0,0.0
node,5000314164,node/5000314164,Juan Vucetich,juan vucetich,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5000314164,5000314165,5000326757,5000326758",4,0,0,0,0,0,0,0.0
node,5000337835,node/5000337835,Plaza Villa Elisa,plaza villa elisa,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5000337834,5000337835",2,0,0,0,0,0,0,0.0
node,5000338091,node/5000338091,"Arana, Villa Elisa","arana, villa elisa",,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5000338090,5000338091",2,0,0,0,0,0,0,0.0
node,5006366597,node/5006366597,Plaza Villa Elisa,plaza villa elisa,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5000497500,5006366597",2,0,0,0,0,0,0,0.0
node,5000713599,node/5000713599,City Bell,city bell,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,shelter,platform,,,,,,,"5000713599,5006366589",2,0,0,0,0,0,0,0.0
