nodo_id,h3,instalaciones_250m,instalaciones_500m,instalaciones_1000m,intercambiadores_250m,intercambiadores_500m,intercambiadores_1000m,modos_250m,cantidad_modos_250m,ferrocarril_250m,subte_250m,autobus_250m,fluvial_250m,tranvia_250m,modos_500m,cantidad_modos_500m,ferrocarril_500m,subte_500m,autobus_500m,fluvial_500m,tranvia_500m,modos_1000m,cantidad_modos_1000m,ferrocarril_1000m,subte_1000m,autobus_1000m,fluvial_1000m,tranvia_1000m,densidad_instalaciones_250m,densidad_instalaciones_500m,densidad_instalaciones_1000m,instalaciones_500m_normalizadas,densidad_instalaciones_500m_normalizada,intercambiadores_500m_normalizados,diversidad_modal_500m_normalizada,modo_ferroviario_estructurante,modo_subterraneo_estructurante,modo_fluvial_estructurante,conectividad_modal_500m,soporte_fisico_preliminar,categoria_soporte_fisico,ranking_soporte_fisico,tipo_intermodalidad,score_intermodalidad,score_demanda,score_densidad,score_conectividad,score_alcance,score_integracion,ranking_centralidad,ranking_operaciones_validacion,ranking_centralidad_validacion,diferencia_ranking_abs,score_intermodalidad_500m,categoria_intermodalidad_500m,ranking_intermodalidad
6,4,145,223,408,7,9,17,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,AUTOBUS|FERROCARRIL|FLUVIAL|TRANVIA,4,1,0,1,1,1,738.4789359463944,283.9324184759413,129.8704335629866,0.05759297520661157,0.6647132504735409,0.41824639950663545,0.6,1,0,1,0.5454739198519907,49.59,SOPORTE_FISICO_MEDIO,2,INTERMODAL,100.0,99.30555555555556,95.83333333333334,95.83333333333334,95.48611111111111,50.34722222222222,1,2,1,1,85.0,INTERMODALIDAD_MUY_ALTA,3
1,152,3439,3872,4337,214,245,279,AUTOBUS|FERROCARRIL|FLUVIAL|SUBTE|TRANVIA,5,1,1,1,1,1,AUTOBUS|FERROCARRIL|FLUVIAL|SUBTE|TRANVIA,5,1,1,1,1,1,AUTOBUS|FERROCARRIL|FLUVIAL|SUBTE|TRANVIA,5,1,1,1,1,1,17514.683177376897,4929.98351721455,1380.5099763791002,1.0,1.0,1.0,1.0,1,1,1,1.0,100.0,SOPORTE_FISICO_MUY_ALTO,1,INTERMODAL,100.0,100.0,81.94444444444444,100.0,100.0,50.34722222222222,2,1,2,1,100.0,INTERMODALIDAD_MUY_ALTA,1
14,5,38,54,91,2,4,5,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,193.53241079974472,68.75493541569878,28.966199642724952,0.013946280991735538,0.49921692756703323,0.2923416876766772,0.4,1,0,0,0.3677025063030031,34.99,SOPORTE_FISICO_BAJO,35,INTERMODAL,100.0,95.13888888888889,86.80555555555556,69.44444444444444,95.48611111111111,50.34722222222222,3,8,3,5,70.0,INTERMODALIDAD_MEDIA,16
5,3,70,72,112,2,2,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,356.50707252584556,91.67324722093171,35.65070725258456,0.01859504132231405,0.5326265294694258,0.19955424691458712,0.4,1,0,0,0.3398662740743761,33.91,SOPORTE_FISICO_BAJO,43,INTERMODAL,100.0,95.83333333333334,96.52777777777779,69.44444444444444,46.18055555555556,50.34722222222222,4,7,4,3,70.0,INTERMODALIDAD_MEDIA,16
44,6,66,91,150,3,5,7,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,336.13523981008296,115.86479857089981,47.7464829275686,0.02350206611570248,0.5599027673794839,0.3254589587445453,0.4,1,0,0,0.3776376876233636,38.09,SOPORTE_FISICO_BAJO,20,INTERMODAL,100.0,91.66666666666666,58.333333333333336,99.30555555555556,46.18055555555556,50.34722222222222,5,13,5,8,70.0,INTERMODALIDAD_MEDIA,16
3,3,110,124,147,6,7,7,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,560.2253996834716,157.88170354716019,46.79155326901723,0.03202479338842975,0.5960231500081437,0.3777141354898746,0.4,1,0,0,0.39331424064696235,40.78,SOPORTE_FISICO_MEDIO,15,MONOMODAL,50.0,97.91666666666666,97.22222222222221,95.83333333333334,46.18055555555556,50.34722222222222,6,4,6,2,70.0,INTERMODALIDAD_MEDIA,16
13,2,53,58,62,2,2,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,269.9267834838545,73.84789359463944,19.735212943395023,0.014979338842975207,0.5075042799813676,0.19955424691458712,0.4,1,0,0,0.3398662740743761,32.98,SOPORTE_FISICO_BAJO,47,INTERMODAL,100.0,87.5,92.36111111111111,69.44444444444444,46.18055555555556,50.34722222222222,7,19,7,12,70.0,INTERMODALIDAD_MEDIA,16
8,4,43,44,48,2,2,3,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,218.997201694448,56.02253996834716,15.278874536821952,0.011363636363636364,0.4755153414270987,0.19955424691458712,0.4,1,0,0,0.3398662740743761,31.8,SOPORTE_FISICO_BAJO,54,MONOMODAL,50.0,93.75,88.88888888888889,95.83333333333334,46.18055555555556,50.34722222222222,8,10,8,2,70.0,INTERMODALIDAD_MEDIA,16
11,3,45,47,59,1,1,1,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,229.1831180523293,59.84225860255265,18.78028328484365,0.012138429752066115,0.4831403823338039,0.12590471182995822,0.4,1,0,0,0.3177714135489874,30.24,SOPORTE_FISICO_BAJO,66,MONOMODAL,50.0,93.05555555555556,89.58333333333334,95.83333333333334,46.18055555555556,50.34722222222222,9,11,9,2,70.0,INTERMODALIDAD_MEDIA,16
17,9,81,101,148,0,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,412.52961249419275,128.59719401825143,47.10986315520102,0.026084710743801653,0.5720643411019338,0.0,0.4,1,0,0,0.27999999999999997,30.41,SOPORTE_FISICO_BAJO,65,INTERMODAL,100.0,96.52777777777779,66.66666666666666,69.44444444444444,46.18055555555556,50.34722222222222,10,6,10,4,65.0,INTERMODALIDAD_MEDIA,104
