escenario_id,cantidad_proyectos,tipo_escenario,dimension_dominante,prioridad_escenario,indice_demanda_media,indice_demanda_mediana,indice_demanda_minimo,indice_demanda_maximo,deficit_infraestructura_media,deficit_infraestructura_mediana,deficit_infraestructura_minimo,deficit_infraestructura_maximo,indice_conectividad_media,indice_conectividad_mediana,indice_conectividad_minimo,indice_conectividad_maximo,indice_intermodalidad_media,indice_intermodalidad_mediana,indice_intermodalidad_minimo,indice_intermodalidad_maximo,indice_integracion_media,indice_integracion_mediana,indice_integracion_minimo,indice_integracion_maximo,indice_centralidad_media,indice_centralidad_mediana,indice_centralidad_minimo,indice_centralidad_maximo,impacto_potencial_media,impacto_potencial_mediana,impacto_potencial_minimo,impacto_potencial_maximo,urgencia_intervencion_media,urgencia_intervencion_mediana,urgencia_intervencion_minimo,urgencia_intervencion_maximo,prioridad_territorial_media,prioridad_territorial_mediana,prioridad_territorial_minimo,prioridad_territorial_maximo,score_cartera_media,score_cartera_mediana,score_cartera_minimo,score_cartera_maximo,_score_indice_demanda_media,_score_deficit_infraestructura_media,_score_indice_conectividad_media,_score_indice_intermodalidad_media,_score_indice_integracion_media,_score_indice_centralidad_media,_score_impacto_potencial_media,_score_urgencia_intervencion_media,_score_prioridad_territorial_media,_score_score_cartera_media,score_analitico_v4,ranking_v4
AMBA-E001,20,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,60.24305555555556,67.36111111111111,0.6944444444444444,100.0,73.52715500000001,76.3732,0.0,100.0,47.929680000000005,48.6545,17.5347,77.2569,37.214029999999994,39.00435,11.0243,98.1771,59.618055000000005,59.1435,31.3657,79.9769,45.285000000000004,44.95,16.27,93.74,56.65864727777779,59.0756325,16.567739444444445,85.33003166666667,61.57871025000001,61.312802500000004,8.73699,85.073795,59.62550936666668,62.48380541666666,32.697481333333336,72.08562783333333,59.473460185833346,62.295156458333324,33.91169226666667,71.14240306666666,100.0,83.00796719696032,0.0,38.964493609303176,100.0,60.981568362003955,100.0,73.33229710887827,100.0,100.0,75.62863262771457,1
AMBA-E003,20,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,52.53472222222221,53.47222222222222,2.083333333333333,98.61111111111111,64.05439499999999,64.04865000000001,48.735,79.277,58.906245,60.32985,32.6389,76.1285,42.19827500000001,41.2041,19.8438,59.8312,49.31714,47.685199999999995,31.8287,70.9491,46.95399999999999,47.765,18.78,66.17,53.93859786111111,54.488478611111105,17.756540555555556,86.47011555555555,55.89336925000001,54.072815000000006,43.77669,75.30888,55.14699659166668,55.103407583333336,32.792851500000005,74.08132433333333,55.07769268083333,54.915848141666665,33.886926550000005,72.79725111666666,59.862247094274565,24.30651055788661,60.408107177988825,76.40575708037179,29.260877311863048,79.16112317064623,75.08073355972601,29.241581977061205,53.511002458865875,52.63243230290608,53.98703726915902,2
AMBA-E002,21,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,49.999999999999986,53.47222222222222,6.25,88.88888888888889,60.13200952380953,60.1123,50.18,70.2773,66.10036190476191,66.4062,48.6111,87.1528,45.33918095238096,43.5238,39.3629,59.9994,49.16776666666666,48.2639,33.6806,66.088,48.86714285714286,49.63,32.6,64.91,53.160520714285724,54.991861666666665,20.930190000000003,81.09240222222223,52.12277119047619,52.561915,42.64413000000001,58.60005,53.06529516666666,55.13034966666667,35.129144,68.83067316666667,52.93820040238095,54.941882433333326,36.238341049999995,67.60590788333333,46.663796814463986,0.0,100.0,100.0,28.235090908130623,100.0,67.95251316268973,0.0,31.901995788520644,29.57785873373311,50.433125540753814,3
AMBA-E004,21,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,50.72751322751323,49.30555555555556,4.166666666666666,96.52777777777779,73.26526666666668,71.98349999999999,59.0695,87.3143,55.64648095238094,56.8576,31.8576,81.9444,34.81861428571428,39.3629,17.2396,57.5115,48.66070952380952,47.8009,32.5231,70.0231,42.07857142857143,41.32,20.92,60.81,50.92487256613756,50.34377277777777,18.206088333333334,84.46923888888888,62.17305047619048,61.031054999999995,47.758455000000005,77.855405,56.13401461111111,54.627634500000006,35.3110855,73.89418833333333,56.258498684126984,54.203204150000005,36.5923236,72.62915166666666,50.45200172191133,81.38507939620892,42.4684169412411,20.970315778697127,24.752994663431284,26.0555983474547,47.47100590438381,77.94149919620143,63.75669797974276,65.35646928496364,50.06100792142361,4
AMBA-E005,21,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,48.842592592592595,50.69444444444444,8.333333333333332,81.94444444444444,69.24583333333332,69.5837,51.3187,86.4234,57.444609523809525,57.8125,28.9062,82.2049,39.023723809523815,41.2041,17.5,66.8639,49.89527142857143,51.0417,33.4491,66.3194,43.75238095238095,47.1,21.67,65.13,50.396979153439155,52.04302722222223,21.080733333333335,77.63019222222222,58.96918976190476,57.167845,42.700395,76.51382000000001,54.422515349206364,56.09496266666667,36.857215999999994,66.25592083333333,54.500686081746025,56.183087,38.005389449999996,65.67325041666666,40.63710718897979,56.47717594142755,52.364185195031055,52.55877373083473,33.23105957776679,44.2875408143947,42.63480089924913,53.09505461608004,45.990557973958644,46.4147697188751,46.76910256565975,5
AMBA-E006,20,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_4_MEDIA_BAJA,49.58333333333333,49.30555555555556,2.7777777777777777,99.30555555555556,76.26919000000001,79.4055,45.0884,100.0,49.058155,44.09725,22.8299,83.941,32.027010000000004,30.1615,11.0243,72.3312,51.14584500000001,52.8935,32.0602,79.7454,39.686499999999995,38.56999999999999,18.76,78.55,49.071725666666666,50.876488888888886,16.555433888888892,84.89931777777778,65.01741575000001,65.28954,31.202550000000002,82.59115000000001,56.32875965000001,54.691148166666665,39.20390283333333,72.2099565,56.54350296749999,54.82407200833333,40.77707631666666,71.0874738,44.494188549289696,100.0,6.2104163504412035,0.0,41.81908086517942,0.0,30.49371826470789,100.0,65.77823997122542,68.42759615217781,45.722324015302135,6
AMBA-E007,21,ESCENARIO_DE_NECESIDAD,CONECTIVIDAD,PRIORIDAD_4_MEDIA_BAJA,41.038359788359784,31.944444444444443,6.944444444444445,97.91666666666666,65.71820952380953,67.608,49.0386,84.4462,65.79034761904761,63.4549,43.4028,81.3368,43.15124285714286,41.2041,17.934,62.9856,45.056219047619045,43.8657,34.1435,67.2454,43.887142857142855,41.88,23.78,66.58,45.743199894179895,40.19143833333334,19.824732222222224,86.80549333333333,55.582970714285715,56.60494,41.57163500000001,72.645675,49.992019698412705,46.818400833333335,37.12197933333334,72.03441600000001,50.19333938015874,47.63795571666666,38.25841661666667,70.6608482,0.0,34.616951878564755,98.2938764360128,83.56437801869745,0.0,45.755432626099946,0.0,26.834392431964034,0.0,0.0,28.906503139133896,7
