ranking_final_proyecto_v4,proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_escenario,prioridad_territorial_v4,prioridad_operativa_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,score_final_proyecto_v4
11,AMBA-P054,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
12,AMBA-P055,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
13,AMBA-P058,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
14,AMBA-P059,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
15,AMBA-P077,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
16,AMBA-P090,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
17,AMBA-P097,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
18,AMBA-P116,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
19,AMBA-P142,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
20,AMBA-P143,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_3_MEDIA,PRIORIDAD_2_ALTA,INTERVENCION_PRIORITARIA,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,76.60159343939206
21,AMBA-P001,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
22,AMBA-P003,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
23,AMBA-P004,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
24,AMBA-P027,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
25,AMBA-P028,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
26,AMBA-P030,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
27,AMBA-P031,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
28,AMBA-P037,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
