escenario_id,cantidad_proyectos,tipo_escenario,dimension_escenario,prioridad_original,score_analitico,demanda_media,deficit_medio,conectividad_media,intermodalidad_media,integracion_media,centralidad_media,impacto_medio,urgencia_media,score_cartera_original,score_demanda_cartera,score_deficit_cartera,score_conectividad_cartera,score_integracion_cartera,score_impacto_cartera,score_cartera_v4,ranking_cartera_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,programa_estrategico_v4
AMBA-E001,20,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.94232863449311,60.24305555555556,73.52715500000001,47.929680000000005,37.214029999999994,59.618055000000005,45.285000000000004,56.65864727777779,61.57871025000001,59.473460185833346,100.0,83.00796719696032,0.0,100.0,100.0,76.60159343939206,1,P2_PRIORITARIA,INTEGRACION_TERRITORIAL,CORTO_MEDIANO_PLAZO,PROGRAMA_INTEGRACION_INTERMODAL
AMBA-E003,20,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,52.19918466555358,52.53472222222221,64.05439499999999,58.906245,42.19827500000001,49.31714,46.95399999999999,53.93859786111111,55.89336925000001,55.07769268083333,59.862247094274565,24.30651055788661,60.408107177988825,29.260877311863048,75.08073355972601,51.31376362946839,2,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,PROGRAMA_IMPACTO_TERRITORIAL
AMBA-E004,21,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,51.25180617171996,50.72751322751323,73.26526666666668,55.64648095238094,34.81861428571428,48.66070952380952,42.07857142857143,50.92487256613756,62.17305047619048,56.258498684126984,50.45200172191133,81.38507939620892,42.4684169412411,24.752994663431284,47.47100590438381,50.59085007835929,3,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,PROGRAMA_REDUCCION_DEFICITS
AMBA-E002,21,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,53.952995705743206,50.0,60.13200952380953,66.10036190476191,45.33918095238096,49.16776666666666,48.86714285714286,53.160520714285724,52.12277119047619,52.93820040238095,46.663796814464064,0.0,100.0,28.235090908130623,67.95251316268973,49.491715472373556,4,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,PROGRAMA_CONECTIVIDAD_METROPOLITANA
AMBA-E005,21,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,57.29611129376035,48.842592592592595,69.24583333333332,57.444609523809525,39.023723809523815,49.89527142857143,43.75238095238095,50.396979153439155,58.96918976190476,54.500686081746025,40.63710718897979,56.47717594142755,52.364185195031055,33.23105957776679,42.63480089924913,45.43916814105151,5,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,PROGRAMA_REDUCCION_DEFICITS
AMBA-E006,20,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,49.90764715705244,49.58333333333333,76.26919000000001,49.058155,32.027010000000004,51.14584500000001,39.686499999999995,49.071725666666666,65.01741575000001,56.54350296749999,44.494188549289696,100.0,6.2104163504412035,41.81908086517942,30.49371826470789,44.73723619012915,6,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,PROGRAMA_REDUCCION_DEFICITS
AMBA-E007,21,ESCENARIO_DE_NECESIDAD,CONECTIVIDAD,PRIORIDAD_4_MEDIA_BAJA,30.086574651033622,41.038359788359784,65.71820952380953,65.79034761904761,43.15124285714286,45.056219047619045,43.887142857142855,45.743199894179895,55.582970714285715,50.19333938015874,0.0,34.616951878564755,98.2938764360128,0.0,0.0,26.58216566291551,7,P4_SEGUIMIENTO,CONECTIVIDAD_METROPOLITANA,MEDIANO_LARGO_PLAZO,PROGRAMA_CONECTIVIDAD_METROPOLITANA
