escenario_id,cantidad_proyectos,score_escenario,tipo_escenario,dimension_dominante,prioridad_escenario,distancia_media_m,distancia_maxima_m,dispersion_m,media_indice_demanda_estructural,media_deficit_infraestructura,media_indice_conectividad_estructural,media_indice_intermodalidad_estructural,media_indice_integracion_territorial,media_indice_centralidad_estructural,media_impacto_potencial,media_urgencia_intervencion,media_score_prioridad_territorial,media_score_cartera,score_tamano,score_cohesion,score_indicadores,score_validacion_escenario,ranking_validacion,clasificacion_validacion
AMBA-E002,19,53.10013292712883,INCONSISTENTE,INCONSISTENTE,INCONSISTENTE,4458.898665545316,10848.177600865607,2692.0591166017243,55.665204678362564,53.241521052631576,71.0434947368421,51.579810526315796,49.36037894736842,54.297894736842096,57.301178391812876,46.7889,53.1882253245614,52.84526948596491,0.923611111111111,0.4878799064341761,0.5547081027728077,0.6017574259050158,1,VALIDADO_CON_OBSERVACIONES
AMBA-E001,19,55.049744654975164,ESCENARIO_DE_NECESIDAD,INCONSISTENTE,PRIORIDAD_3_MEDIA,6709.712051070621,18373.278414965775,3907.38689489299,59.064327485380126,77.6268,45.4724,33.20666315789473,57.62061578947368,42.53684210526316,55.86936190058479,65.01148184210527,60.60452885087718,60.555296757017544,0.923611111111111,0.22936612353495067,0.7181470454894064,0.5637274898319651,2,VALIDADO_CON_OBSERVACIONES
AMBA-E007,23,48.54924542635771,INCONSISTENTE,INCONSISTENTE,INCONSISTENTE,4518.3817174029855,9716.030101722596,2256.2193062869355,42.330917874396135,66.0449086956522,65.73822608695652,42.849939130434784,46.22081304347826,44.24173913043479,46.60490763285024,55.624711521739144,50.57867392753624,50.73951462246377,0.8819444444444445,0.48104807006204253,0.2713847859325606,0.4773620312867302,3,REVISAR
AMBA-E003,20,53.855655761204694,INCONSISTENTE,INCONSISTENTE,PRIORIDAD_3_MEDIA,6557.483914240542,13407.544517981954,2560.9480710983803,50.4861111111111,65.40025999999999,57.573785,41.11493,49.988434999999996,45.654,52.17301105555555,56.86834925000001,54.54174113333333,54.53542283916666,0.9722222222222221,0.24685005701816143,0.45611443935977886,0.4756302429956205,4,REVISAR
AMBA-E005,23,50.7965480445005,INCONSISTENTE,INCONSISTENTE,PRIORIDAD_3_MEDIA,5942.756305558873,11397.883919328862,2674.6534879522046,46.07487922705313,69.51697826086956,56.38963478260869,39.59493913043479,50.075473913043474,42.82826086956521,48.39519917874395,59.11880847826087,53.27211385507247,53.41758084710146,0.8819444444444445,0.31745367106935674,0.3697315721724789,0.4512629861856232,5,REVISAR
AMBA-E004,19,51.242832493250965,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,8706.7442218457,34285.485048750925,8952.394928423202,53.5453216374269,73.0123052631579,55.58295789473684,34.61491052631578,50.347221052631575,43.10526315789474,52.96291634502924,61.88251973684212,57.300637043859645,57.33726134298246,0.923611111111111,0.0,0.5429974264111856,0.40192119278669647,6,REVISAR
AMBA-E006,21,48.54183012250934,INCONSISTENTE,INCONSISTENTE,INCONSISTENTE,8247.175118645675,19683.02590075872,5084.938015812784,48.08201058201058,76.8067619047619,49.15260476190476,30.981771428571435,49.818128571428566,38.77380952380952,48.24371814814814,65.67402166666668,56.08279422222223,56.34561692777776,0.9791666666666667,0.05278311748804343,0.40428781463128755,0.37866170618106576,7,REVISAR
