metrica,original,optimizado,cambio
cohesion,0.8393741268165447,0.8393741268165447,0.0
balance,0.8422525459499924,0.9759437387837656,0.13369119283377318
indicadores,0.9010073669330645,0.927011409816737,0.02600404288367253
score_territorial,0.5488586774992081,0.5379350621738912,-0.010923615325316938
estabilidad,1.0,0.9444444444444444,-0.05555555555555558
score_objetivo,0.832793022246456,0.8547601937578142,0.021967171511358186
