k_solicitado,k_final,silhouette,davies_bouldin,min_proyectos,max_proyectos,equidad,score
6,6,0.25447754542614553,1.3030035577880366,17,29,0.0,0.3908113399433148
7,7,0.2575686342426293,1.2011602261834324,16,26,0.0,0.3965294088910047
8,8,0.2766236915894897,0.9930366734981219,1,26,0.0,0.21267705905538975
9,9,0.2705083227919933,1.0547346729820073,1,25,0.0,0.2075345830389561
10,10,0.28176645077474977,1.0045443524525248,1,25,0.0,0.21311407328111592
11,11,0.24683240755147373,1.063692581629949,1,23,0.0,0.20167936597186142
12,12,0.2579609384369382,1.092875747471756,1,23,0.0,0.20249407417756926
