cluster_territorial,cohesion_promedio,cohesion_maxima,dispersion_std
1,0.2289097097232605,0.40006827673127515,0.07184504637094663
2,0.23837194186401106,0.915332346072396,0.15700862800331006
3,0.2647226335545286,0.5093047462062796,0.10245242754587384
4,0.22650735460298566,0.43712001599056305,0.07584732673576905
5,0.20252787727909902,0.32696778117221703,0.06108945896289727
6,0.19815340874381948,0.4434108557987091,0.07913044701487693
