k,silhouette,min_size,max_size,score_modelo
6,0.2890493522844788,1,40,-0.27095064771552124
7,0.28977045903536336,1,36,-0.2702295409646367
8,0.26920136187457394,1,26,-0.2907986381254261
9,0.2664519559113838,1,21,-0.29354804408861623
10,0.25685485427470234,1,21,-0.3031451457252977
11,0.2583808878000945,1,21,-0.30161911219990556
12,0.22317384372412263,1,18,-0.3368261562758774
