id_h3,registros,operaciones
88c2e31855fffff,1,8
88c2e31b35fffff,3,8
88c2e3c843fffff,2,8
88c2e22c49fffff,1,8
88c2e226d5fffff,2,8
88c2e31863fffff,3,8
88c2e22c69fffff,1,8
88c2e3c80bfffff,3,7
88c2e22d19fffff,1,7
88c2e22ee9fffff,1,7
88c2e31857fffff,2,7
88c2e3c581fffff,1,7
88c2e3c5bbfffff,1,7
88c2e3ca33fffff,2,7
88c2e31959fffff,1,7
88c2e3c5abfffff,1,7
88c2e3ccc5fffff,2,7
88c2e31a31fffff,1,7
88c2e3c9e1fffff,1,7
88c2e22433fffff,2,6
88c2e2241bfffff,3,6
88c2e226d9fffff,2,6
88c2e31929fffff,2,6
88c2e318adfffff,2,6
88c2e318abfffff,1,6
88c2e319d1fffff,2,6
88c2e22e27fffff,2,6
88c2e3cb15fffff,1,6
88c2e3c95dfffff,2,6
88c2e226cdfffff,4,6
88c2e3c825fffff,2,6
88c2e30acbfffff,2,6
88c2e3c587fffff,1,5
88c2e3ccb5fffff,2,5
88c2e3cca1fffff,2,5
88c2e31821fffff,1,5
88c2e31b4bfffff,1,5
88c2e31867fffff,2,5
88c2e30127fffff,3,5
88c2e22411fffff,2,4
88c2c492ddfffff,1,4
88c2e30a9bfffff,2,4
88c2e3565dfffff,3,4
88c2e3c585fffff,1,4
88c2e35653fffff,3,4
88c2e30a53fffff,2,4
88c2e3c953fffff,1,4
88c2e31b39fffff,1,4
88c2e31841fffff,2,4
88c2e3ccbbfffff,2,4
88c2e30a4dfffff,2,4
88c2e226d1fffff,2,4
88c2e3c941fffff,3,4
88c2e30137fffff,4,4
88c2e22dedfffff,1,4
88c2e3192bfffff,1,3
88c2e30ac9fffff,2,3
88c2e22c15fffff,1,3
88c2e318c5fffff,1,3
88c2e318e7fffff,1,3
88c2e31907fffff,2,3
88c2e31b5bfffff,3,3
88c2e31803fffff,1,3
88c2e3c80dfffff,1,3
88c2e3cca9fffff,2,3
88c2e3194bfffff,1,3
88c2e319adfffff,3,3
88c2e318cdfffff,2,3
88c2e31b11fffff,1,3
88c2e318a5fffff,2,3
88c2e3cc17fffff,1,2
88c2e3196bfffff,1,2
88c2e22c23fffff,1,2
88c2e226e3fffff,1,2
88c2e22d81fffff,1,2
88c2e30ad1fffff,2,2
88c2e22dbdfffff,1,2
88c2e31a67fffff,1,2
88c2e31b59fffff,1,2
88c2e31aadfffff,1,2
88c2e318a3fffff,2,2
88c2e318e3fffff,1,2
88c2e3cb1bfffff,1,2
88c2e226e7fffff,1,2
88c2e22c3dfffff,1,2
88c2e3c86dfffff,2,2
88c2e3c9cdfffff,1,2
88c2e22c5bfffff,1,2
88c2e226c1fffff,1,2
88c2e226e9fffff,1,2
88c2e31a65fffff,1,1
88c2e31a3dfffff,1,1
88c2e31a2dfffff,1,1
88c2e31833fffff,1,1
88c2e31807fffff,1,1
88c2e3186dfffff,1,1
88c2e31861fffff,1,1
88c2e31b37fffff,1,1
88c2e3c597fffff,1,1
88c2e35669fffff,1,1
88c2e3182bfffff,1,1
88c2e3c805fffff,1,1
88c2e3c841fffff,1,1
88c2e30a41fffff,1,1
88c2e301a5fffff,1,1
88c2e3c821fffff,1,1
88c2e3c91dfffff,1,1
88c2e30a49fffff,1,1
88c2e3c955fffff,1,1
88c2e22c63fffff,1,1
88c2e22c2bfffff,1,1
88c2e3c95bfffff,1,1
88c2e22c3bfffff,1,1
88c2e2256bfffff,1,1
