metodo_asignacion,h3,registros,operaciones,distancia_min_m,distancia_promedio_m,distancia_max_m
INTERSECCION,6782,104750,11914647,0.0,0.0,0.0
JURISDICCION_MAS_CERCANA,3,53,4787,446.2660554794257,587.8471200113585,768.5019836577038
