nodo_id,h3,instalaciones_250m,instalaciones_500m,instalaciones_1000m,intercambiadores_250m,intercambiadores_500m,intercambiadores_1000m,modos_250m,cantidad_modos_250m,ferrocarril_250m,subte_250m,autobus_250m,fluvial_250m,tranvia_250m,modos_500m,cantidad_modos_500m,ferrocarril_500m,subte_500m,autobus_500m,fluvial_500m,tranvia_500m,modos_1000m,cantidad_modos_1000m,ferrocarril_1000m,subte_1000m,autobus_1000m,fluvial_1000m,tranvia_1000m,densidad_instalaciones_250m,densidad_instalaciones_500m,densidad_instalaciones_1000m,instalaciones_500m_normalizadas,densidad_instalaciones_500m_normalizada,intercambiadores_500m_normalizados,diversidad_modal_500m_normalizada,modo_ferroviario_estructurante,modo_subterraneo_estructurante,modo_fluvial_estructurante,conectividad_modal_500m,soporte_fisico_preliminar,categoria_soporte_fisico,ranking_soporte_fisico,tipo_intermodalidad,score_intermodalidad,score_demanda,score_densidad,score_conectividad,score_alcance,score_integracion,ranking_centralidad,ranking_operaciones_validacion,ranking_centralidad_validacion,diferencia_ranking_abs,score_intermodalidad_500m,categoria_intermodalidad_500m,ranking_intermodalidad,demanda_base_23,indice_demanda_estructural,infraestructura_instalaciones,infraestructura_intercambiadores,infraestructura_diversidad_modal,indice_infraestructura_estructural,indice_intermodalidad_estructural,indice_conectividad_estructural,indice_integracion_territorial,indice_centralidad_estructural,indice_centralidad_estructural_robusto,ranking_centralidad_estructural,ranking_centralidad_estructural_robusto,categoria_centralidad_estructural,categoria_centralidad_estructural_robusta,brecha_demanda_infraestructura,deficit_infraestructura,diagnostico_demanda_infraestructura,prioridad_intervencion,ranking_prioridad_intervencion
99,1,287,357,376,2,3,6,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,1461.6789973559669,454.5465174704531,119.6845172051053,0.0922004132231405,0.7198972562974655,0.25180942365991643,0.4,1,0,0,0.3555428270979749,42.87,SOPORTE_FISICO_MEDIO,10,MONOMODAL,50.0,27.083333333333332,35.41666666666667,69.44444444444444,46.18055555555556,50.34722222222222,91,106,91,15,70.0,INTERMODALIDAD_MEDIA,16,27.083333333333332,27.083333333333332,71.1775,25.1809,40.0,46.8969,42.5105,55.2951,42.9398,40.94,41.67,85,85,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_MEDIA,-19.81,0.0,CENTRALIDAD_SECUNDARIA,16.25,110
128,2,33,41,68,1,2,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,168.06761990504148,52.202821334141674,21.645072260497766,0.010588842975206611,0.4673614186927018,0.19955424691458712,0.4,1,0,0,0.3398662740743761,31.51,SOPORTE_FISICO_BAJO,57,MONOMODAL,50.0,39.58333333333333,8.333333333333332,69.44444444444444,46.18055555555556,50.34722222222222,92,88,92,4,70.0,INTERMODALIDAD_MEDIA,16,39.58333333333333,39.58333333333333,45.2405,19.9554,40.0,34.5473,41.2041,61.1979,33.912,41.32,43.06,83,83,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_MEDIA,5.04,5.04,CENTRALIDAD_SECUNDARIA,25.77,90
124,2,7,11,17,1,2,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,35.65070725258456,14.00563499208679,5.411268065124442,0.002840909090909091,0.3185149047398846,0.19955424691458712,0.4,1,0,0,0.3398662740743761,26.18,SOPORTE_FISICO_BAJO,87,MONOMODAL,50.0,38.88888888888889,6.944444444444445,69.44444444444444,46.18055555555556,50.34722222222222,93,89,93,4,70.0,INTERMODALIDAD_MEDIA,16,38.88888888888889,38.88888888888889,30.0771,19.9554,40.0,28.4406,41.2041,57.8125,33.4491,39.03,35.42,94,94,CENTRALIDAD_ESTRUCTURAL_BAJA,CENTRALIDAD_ESTRUCTURAL_BAJA,10.45,10.45,CENTRALIDAD_SECUNDARIA,27.51,85
102,1,8,11,22,0,0,2,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,40.74366543152521,14.00563499208679,7.002817496043395,0.002840909090909091,0.3185149047398846,0.0,0.2,0,0,0,0.13999999999999999,16.19,SOPORTE_FISICO_MUY_BAJO,127,MONOMODAL,50.0,25.0,32.63888888888889,69.44444444444444,46.18055555555556,50.34722222222222,94,109,94,15,40.0,INTERMODALIDAD_BAJA,115,25.0,25.0,30.0771,0.0,20.0,16.9555,19.8438,40.4514,42.0139,25.98,11.11,129,129,CENTRALIDAD_ESTRUCTURAL_BAJA,CENTRALIDAD_ESTRUCTURAL_MUY_BAJA,8.04,8.04,CENTRALIDAD_SECUNDARIA,18.22,105
103,1,18,26,60,1,2,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,91.67324722093171,33.10422816311423,19.098593171027442,0.006714876033057851,0.41506520603744346,0.19955424691458712,0.4,1,0,0,0.3398662740743761,29.62,SOPORTE_FISICO_BAJO,70,MONOMODAL,50.0,24.305555555555554,31.944444444444443,69.44444444444444,46.18055555555556,50.34722222222222,95,110,95,15,70.0,INTERMODALIDAD_MEDIA,16,24.305555555555554,24.305555555555554,39.8926,19.9554,40.0,32.392,41.2041,71.7882,41.7824,38.58,34.03,96,96,CENTRALIDAD_ESTRUCTURAL_BAJA,CENTRALIDAD_ESTRUCTURAL_BAJA,-8.09,0.0,CENTRALIDAD_SECUNDARIA,14.58,113
104,1,0,1,11,0,1,1,,0,0,0,0,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,0.0,1.2732395447351628,3.5014087480216975,0.00025826446280991736,0.096575039169877,0.12590471182995822,0.4,1,0,0,0.3177714135489874,16.53,SOPORTE_FISICO_MUY_BAJO,124,MONOMODAL,50.0,23.61111111111111,29.86111111111111,69.44444444444444,46.18055555555556,50.34722222222222,96,111,96,15,61.0,INTERMODALIDAD_MEDIA,111,23.61111111111111,23.61111111111111,8.3898,12.5905,40.0,17.1931,29.7275,78.9062,41.088,33.27,24.31,110,110,CENTRALIDAD_ESTRUCTURAL_BAJA,CENTRALIDAD_ESTRUCTURAL_BAJA,6.42,6.42,CENTRALIDAD_SECUNDARIA,16.73,109
75,1,16,36,99,1,3,6,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,81.48733086305042,45.83662361046586,31.512678732195276,0.009297520661157025,0.4523735823652385,0.25180942365991643,0.6,1,0,1,0.4955428270979749,37.27,SOPORTE_FISICO_BAJO,26,MONOMODAL,50.0,40.97222222222222,56.25,23.26388888888889,46.18055555555556,50.34722222222222,97,86,97,11,85.0,INTERMODALIDAD_MUY_ALTA,3,40.97222222222222,40.97222222222222,43.7063,25.1809,60.0,40.442,55.6702,64.7569,49.8843,48.24,58.33,61,61,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_MEDIA,0.53,0.53,CENTRALIDAD_SECUNDARIA,24.8,94
106,1,31,51,139,3,4,16,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,157.88170354716019,64.9352167814933,44.245074179546904,0.013171487603305785,0.49259414321024025,0.2923416876766772,0.4,1,0,0,0.3677025063030031,34.75,SOPORTE_FISICO_BAJO,37,MONOMODAL,50.0,22.22222222222222,29.166666666666668,69.44444444444444,46.18055555555556,50.34722222222222,98,113,98,15,70.0,INTERMODALIDAD_MEDIA,16,22.22222222222222,22.22222222222222,47.8255,29.2342,40.0,38.7217,43.5238,76.1285,40.8565,40.56,39.58,88,88,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_BAJA,-16.5,0.0,CENTRALIDAD_SECUNDARIA,13.33,115
107,1,6,8,27,0,0,1,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,30.557749073643905,10.185916357881302,8.594366926962348,0.002066115702479339,0.28396708285127487,0.0,0.2,0,0,0,0.13999999999999999,14.97,SOPORTE_FISICO_MUY_BAJO,132,MONOMODAL,50.0,21.52777777777778,27.77777777777778,69.44444444444444,46.18055555555556,50.34722222222222,99,114,99,15,38.0,INTERMODALIDAD_BAJA,132,21.52777777777778,21.52777777777778,26.595,0.0,20.0,15.5538,17.934,52.9514,40.3935,25.92,10.42,130,130,CENTRALIDAD_ESTRUCTURAL_BAJA,CENTRALIDAD_ESTRUCTURAL_MUY_BAJA,5.97,5.97,CENTRALIDAD_SECUNDARIA,15.3,111
86,2,10,14,29,2,4,6,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,50.92958178940651,17.82535362629228,9.23098669932993,0.003615702479338843,0.34518442464383275,0.2923416876766772,0.4,1,0,0,0.3677025063030031,29.44,SOPORTE_FISICO_BAJO,72,MONOMODAL,50.0,48.61111111111111,31.25,23.26388888888889,46.18055555555556,50.34722222222222,100,75,100,25,70.0,INTERMODALIDAD_MEDIA,16,48.61111111111111,48.61111111111111,32.778,29.2342,40.0,32.6586,43.5238,55.2951,41.5509,43.9,50.69,72,72,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_MEDIA,15.95,15.95,CENTRALIDAD_SECUNDARIA,35.55,78
